ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Tor_1,11/06/2018,Juntas del Toro,-29.976679,-70.094174,2097,VicuÃƒÂ±a,Turbio river,HB,,,,,3,very soft,,,,,,,,,,,,,,,,439
Gan_1,11/06/2018,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,2018-06-11T03:00,2018-06-11T07:00,2018-06-11T10:00,2018-06-11T14:00,15,very soft,polvo,,,,,,,,,,,,,10 June: wind North-South with rain. Monday: snow with strong wind gusts.,"DÃƒÂ­a 10/06, viento norte-sur con lluvia. Lunes nieve con grandes ventoleras",431
Col_1,11/06/2018,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,2018-06-11T03:00,2018-06-11T07:00,2018-06-11T11:00,2018-06-11T15:00,17.5,very soft,,,,,,,,,,,,,,,,431
Emp_1,11/06/2018,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,2018-06-11T04:00,2018-06-11T08:00,2018-06-11T14:00,2018-06-11T18:00,14.4,very soft,,,,,80,1.6,,,,,,,,It was raining at night with wind and then it started snowing at approximately 4 am.,Estuvo lloviendo en la noche con viento y luego de esto empezÃƒÂ³ a nevar mÃƒÂ¡s o menos a las 4 am.,431
Hor_1,11/06/2018,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2018-06-11T06:35,2018-06-11T10:35,2018-06-11T13:00,2018-06-11T17:00,24,very soft,,,,,,,,,,,,,,"Snow event with wind North-South. Very light snow cover, dispersing like sand when touching with feet.","Evento de nieve con vientos Norte-Sur. Capa de nieve muy liviana, que se dispersa como arena al golpearla con los pies.",431
Der_1,11/06/2018,Estero Derecho,-30.258361,-70.496337,1900,Paihuano,Claro river,JP,,,,,21.8,very soft,,,,,20,0.5,,,,,,,,"Rain, wind and high clouds with low fog.","Lluvia, viento y nubes altas con neblina baja",431
EsBr_1,11/06/2018,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,2018-06-11T05:00,2018-06-11T09:00,2018-06-11T11:00,2018-06-11T15:00,18.8,very soft,plumilla,,,,,,,,,,,,,"Sunday: intermittent rain starting at 2 pm. Snowing fine ""plumilla"" (little feathers), but intense and a lot of wind.","DÃƒÂ­a domingo, lluvia intermitente desde las 14:00. NevÃƒÂ³ plumilla muy fina pero intensa y con mucho viento.",450
Lag_1,04/07/2018,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,6,,,,,,,,,,,,,,,Light rain with light snow at the end.,Lluvia ligera acompaÃƒÂ±ada en su etapa final de una ligera caida de nieve,439
Lag_2,10/10/2018,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,10.6,medium,estrellada,,,,20,0.3,,,,,,,,"Soft, without wind. It went up to the lake and the gauge.","Suave, sin viento. SubiÃƒÂ³ el lago y el aforador",439
Tor_2,30/05/2019,Juntas del Toro,-29.976679,-70.094174,2097,VicuÃƒÂ±a,Turbio river,HB,,,,,2,,,,,,,,,,,,,,,,,439
Lag_3,28/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-05-28T20:00,2019-05-29T00:00,2019-05-29T08:00,2019-05-29T12:00,13.1,very soft,plumilla,>2.0,-1.3,graupel,80,10.5,,-19,,-139.5,,12.6,,"Without wind, gentle, sky totally covered.","Sin viento, calmado, cielo totalmente cubierto.",439
Lag_4,30/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-05-30T10:00,2019-05-30T14:00,,,22.4,very soft,plumilla,>2.0,-1.1,stellar crystal,80,13.8,,-10.8,,-72.3,,14.5,,Wind gusts at night. Wind was blowing from sea to cordillera.,RÃƒÂ¡faga de viento en la noche. El viento soplÃƒÂ³ de mar a cordillera.,439
Lag_5,31/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,20.1,very soft,plumilla,,-3.8,,90,21.9,,,,,,,,With light wind. Duration of the event: 3 hours. Measurements 5 hours after the event.,Con viento leve. DuraciÃƒÂ³n del evento: 3 horas. Mediciones 5 horas despuÃƒÂ©s del evento.,439
Emp_2,30/05/2019,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,,,,,2,,,,,,,,,,,,,,,,,431
Alc_1,30/05/2019,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2019-05-30T00:45,2019-05-30T04:45,2019-05-30T10:30,2019-05-30T14:30,2.8,very soft,,2,-0.1,graupel,,,,-8.9,-9,-60.4,-60.4,11.1,11.3,Day 29 May with moderate winds and intermittent to intense rain at night.,DÃƒÂ­a 29/05 con vientos moderados y lluvias intermitentes a intensas en la noche.,431
Der_2,30/05/2019,Estero Derecho,-30.258361,-70.496337,1900,Paihuano,Claro river,JP,2019-05-30T21:00,2019-05-31T01:00,2019-05-30T10:00,2019-05-30T14:00,4,very soft,garrotillo,>2.0,0.1,spatial dendrite,,,,,,,,,,"Low cloud, strong wind, low temperature, rain.","Nube baja, viento fuerte, baja temperatura, lluvia.",431
Pin_1,30/05/2019,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,,,,,2,,,1.5,-0.9,spatial dendrite,,,,,,,,,,,,451
Ram_1,17/06/2019,Las Ramadas,-31.017125,-70.582831,1391,Monte Patria,Grande river alto,CCo,2019-06-17T18:00,2019-06-17T22:00,2019-06-18T08:00,2019-06-18T12:00,5,very soft,,2,-1,spatial dendrite,270,13.3,,-14.2,-13.9,-99.3,-97.3,14.2,14.2,,,451
Lag_6,24/06/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-06-24T11:00,2019-06-24T15:00,2019-06-25T09:00,2019-06-25T13:00,29.2,very soft,pluma gansa,>2.0,-7.5,capped column,50,15.1,,,,,,,,Occasional soft wind.,Viento suave ocasional,439
Pin_2,28/06/2019,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2019-06-28T23:30,2019-06-29T03:30,2019-06-29T08:30,2019-06-29T12:30,2,very soft,,,,,,,,,,,,,,Day 28 June,DÃƒÂ­a 28-06 se nubla despuÃƒÂ©s de las 18:00 y a las 23:00 comienzan a caer pequeÃƒÂ±os granizos.,451
Lag_7,21/07/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-07-21T16:30,2019-07-21T20:30,2019-07-22T09:00,2019-07-22T13:00,9.8,very soft,granizo,>2.0,-2.3,hail,130,13,,-21,-21.3,-154.8,-157,13.1,13.3,Wind with direction West to East.,Viento con direcciÃƒÂ³n de oeste a este,439
Pin_3,03/06/2020,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2020-06-03T03:30,2020-06-03T07:30,2020-06-03T18:00,2020-06-03T22:00,6.1,very soft,aguachenta,1,0.8,stellar crystal,80,0.4,,,,,,,,"At 3:30 am first rain drops, afterwards with form of ""plumillas"" (little feathers)","A las 3:30 se comenzÃƒÂ³ a sentir las primeras gotas de lluvia, para posteriormente hacerlo en forma de plumillas.",451
Lag_8,17/06/2020,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2020-06-17T08:00,2020-06-17T12:00,2020-06-17T15:00,2020-06-17T19:00,5.8,very soft,granisito fino,<1.0,-2.8,spatial dendrite,0,0,,-20.3,-21.4,-147.7,-157.8,14.4,13.6,"At 8:00 am light snow started, with a minimum temperature of -3Ã‚Â°C, decreasing at -6Ã‚Â°C at 10:00 am.","A las 8:00 empieza a nevar finito, con temperatura mÃƒÂ­nima de -3Ã‚Â°C, bajando a -6Ã‚Â°C a las 10:00.",439
Gan_2,17/06/2020,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,2020-06-17T09:00,2020-06-17T13:00,2020-06-17T14:48,2020-06-17T18:48,15.2,very soft,plumilla,2,0.1,spatial dendrite,90,1.3,,-15.9,,-112.2,,15.4,,"At 5:00 am, intermittent rain with wind gusts. At 7:00 am strong and constant rain started.",A las 5 am comienza la lluvia intermitente con rÃƒÂ¡fagas de viento. A las 7 am comienza a llover fuerte y constante.,431
Col_2,17/06/2020,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,2020-06-17T09:00,2020-06-17T13:00,,,15,,,,,,,,,,,,,,,,,431
Emp_3,17/06/2020,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,,,,,12,,,,,,,,,,,,,,,,,431
Hor_2,17/06/2020,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2020-06-17T09:10,2020-06-17T13:10,2020-06-17T13:20,2020-06-17T17:20,5.9,,,2,-0.2,graupel,,,28,,,,,,,Soft wind from North to South. At 15:00 clear sky.,Viento suave de norte a sur. A las 15:00 cielo despejado,431
Alc_2,17/06/2020,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2020-06-17T07:45,2020-06-17T11:45,2020-06-18T00:00,2020-06-18T04:00,22.4,very soft,,1,-0.1,graupel,80,0.8,,-14.3,-14.6,-99.4,-100.9,15,16.1,Swirling snow due to constant wind.,Nevadas arremolinadas  por el viento constante,431
EsBr_2,17/06/2020,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,2020-06-17T08:00,2020-06-17T12:00,2020-06-17T12:40,2020-06-17T16:40,17.7,very soft,plumilla,1.5,-2,spatial dendrite,80,1.3,,,,,,,,"Rain in the early morning. It snowed into different directions, with a lot of wind, with little feathers.","Lluvias en la madrugada. NevÃƒÂ³ en varias direcciones, con bastante viento, de plumas pequeÃƒÂ±as.",450
Pin_4,17/06/2020,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2020-06-17T06:00,2020-06-17T10:00,2020-06-17T14:00,2020-06-17T18:00,28.7,very soft,aguachenta,1.5,0.8,stellar crystal,110,3,,-18.4,-15.7,-134.1,-111.8,13,13.5,,,451
Lag_9,23/06/2020,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,GR - ML,,,,,2,very soft,,,,,,,,,,,,,,,,439
Pin_5,23/06/2020,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2020-06-23T23:30,2020-06-24T03:30,2020-06-24T15:30,2020-06-24T19:30,4.1,very soft,,1.5,0.7,stellar crystal,,,,,,,,,,23 June: rain during the entire day.,DÃƒÂ­a 23-06 llueve todo el dÃƒÂ­a,451
Lag_10,29/06/2020,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,GR - ML,2020-06-29T12:00,2020-06-29T16:00,2020-06-30T09:00,2020-06-30T13:00,28.5,very soft,estrella,<1.0,-6.7,spatial dendrite,20,0.3,,-15.2,-15.1,-110.4,-110,10.8,11.1,,,439
Gan_3,29/06/2020,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,2020-06-29T16:10,2020-06-29T20:10,2020-06-30T09:00,2020-06-30T13:00,16,soft,,1.5,0.1,spatial dendrite,90,1.3,,-10.3,,-68.6,,14.2,,We observed with a magnifying glass stellar crystals of 1 mm. Samples were taken the next day in the morning.,Observamos con la lupa agujas y cristales estelares de 1 mm. Toma de muestras al dÃƒÂ­a siguiente en la maÃƒÂ±ana.,431
Hor_3,29/06/2020,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2020-06-29T13:30,2020-06-29T17:30,2020-06-29T18:00,2020-06-29T22:00,0,,,,,,,,16,,,,,,,"Little snow fell, but not accumulating at the ground.","CayÃƒÂ³ un poco de nieve, pero no para juntarse en el suelo.",431
Alc_3,29/06/2020,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2020-06-29T15:25,2020-06-29T19:25,2020-06-30T10:00,2020-06-30T14:00,2,,garrotillo,,1,,,,,,,,,,,"Snow with form of feathers, melting when touching the ground.",Nieve en forma de plumas; se derrite al tocar el suelo,431
Pin_6,29/06/2020,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2020-06-29T10:45,2020-06-29T14:45,2020-06-30T09:30,2020-06-30T13:30,18.8,very soft,plumilla,1.5,0.3,spatial dendrite,190,3.3,,-10.9,-11.6,-75.9,-80.6,11.5,11.9,"At 10:00 am it started shading, and at 10:45 it started falling ""garrotillo"", which after few minutes transformed into plumillas (little feathers), which quickly covered the ground.","A las 10:00 se comenzÃƒÂ³ a oscurecer y a las 10:45 aprox comenzÃƒÂ³ a caer garrotillo y a los pocos minutos se transformaron en plumillas, las que rÃƒÂ¡pidamente cubrieron el suelo.",451
Lag_11,21/05/2021,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,3,,,,,,,,,,,,,,,,,439
Col_3,21/05/2021,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,,,2021-05-21T09:50,2021-05-21T13:50,0,,,,,,,,1,,,,,,,,,431
Alc_4,21/05/2021,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2021-05-21T00:00,2021-05-21T04:00,2021-05-21T10:00,2021-05-21T14:00,0,,,,,,,,3,,,,,,,"Wind from North, snow at 2500 m asl.","viento norte, nieve a 2.500 m. s.n.m.",431
EsBr_3,21/05/2021,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,,,2021-05-21T08:00,2021-05-21T12:00,0,,,,,,,,3,,,,,,,"Wind from South, intermittent rain that varied between soft and strong.","viento sur, lluvia interminente que fluctuÃƒÂ³ entre suave y fuerte",450
